gene	in_raghunath	in_baxter	in_gwas	in_bajpai	n_studies	chrom	start	end	strand	ensembl_id	coord_source	reference_genome
DTNBP1	0	1	0	1	2	6	15522807	15663058	-	ENSG00000047579	mygene.info	GRCh38
KIF13A	0	1	0	0	1	6	17759183	17987635	-	ENSG00000137177	mygene.info	GRCh38
DEK	0	0	0	1	1	6	18223860	18265997	-	ENSG00000124795	mygene.info	GRCh38
TNF	1	0	0	0	1	chr6	31565565	31588336			gene_regions_bed	GRCh38
BAK1	1	0	0	0	1	chr6	33562547	33590305			gene_regions_bed	GRCh38
SNRPC	0	1	0	0	1	6	34757454	34773857	+	ENSG00000124562	mygene.info	GRCh38
FANCE	0	1	0	0	1	6	35452318	35467106	+	ENSG00000112039	mygene.info	GRCh38
MAPK14	1	0	0	0	1	chr6	36017738	36132511			gene_regions_bed	GRCh38
SRSF3	0	0	0	1	1	6	36593787	36605911	+	ENSG00000112081	mygene.info	GRCh38
CDKN1A	1	0	0	0	1	chr6	36666441	36697397			gene_regions_bed	GRCh38
SLC22A7	0	1	0	0	1	6	43295694	43305543	+	ENSG00000137204	mygene.info	GRCh38
POLH	0	1	0	0	1	6	43575537	43620523	+	ENSG00000170734	mygene.info	GRCh38
IL17A	0	1	0	0	1	6	52186375	52190638	+	ENSG00000112115	mygene.info	GRCh38
BMP5	0	1	0	0	1	6	55753653	55875595	-	ENSG00000112175	mygene.info	GRCh38
SLC17A5	0	1	0	1	2	6	73593364	73654014	-	ENSG00000119899	mygene.info	GRCh38
MYO6	0	1	0	0	1	6	75749175	75919537	+	ENSG00000196586	mygene.info	GRCh38
CGA	0	1	0	0	1	6	87085498	87095106	-	ENSG00000135346	mygene.info	GRCh38
MDN1	0	1	0	0	1	6	89642498	89819794	-	ENSG00000112159	mygene.info	GRCh38
USP45	0	1	0	0	1	6	99432325	99521728	-	ENSG00000123552	mygene.info	GRCh38
ASCC3	0	0	0	1	1	6	100508194	100881407	-	ENSG00000112249	mygene.info	GRCh38
PRDM1	0	1	0	0	1	6	105993463	106109939	+	ENSG00000057657	mygene.info	GRCh38
OSTM1	0	1	0	0	1	6	108029245	108165854	-	ENSG00000081087	mygene.info	GRCh38
SMPD2	1	0	0	0	1	chr6	109430678	109453920			gene_regions_bed	GRCh38
FIG4	0	1	0	1	2	6	109690609	109878098	+	ENSG00000112367	mygene.info	GRCh38
HDAC2	0	1	0	0	1	6	113933028	114011308	-	ENSG00000196591	mygene.info	GRCh38
MED23	0	1	0	0	1	6	131573966	131628242	-	ENSG00000112282	mygene.info	GRCh38
ENPP1	0	1	0	0	1	6	131807993	131895155	+	ENSG00000197594	mygene.info	GRCh38
MAP3K5	1	0	0	0	1	chr6	136547034	136803097			gene_regions_bed	GRCh38
GRM1	0	1	0	0	1	6	146027646	146437601	+	ENSG00000152822	mygene.info	GRCh38
RAB32	0	1	0	1	2	6	146543825	146554964	+	ENSG00000118508	mygene.info	GRCh38
SASH1	0	1	0	0	1	6	148272304	148552044	+	ENSG00000111961	mygene.info	GRCh38
AKAP12	0	0	1	0	1	6	151239936	151358563	+	ENSG00000131016	mygene.info	GRCh38
FBXO5	0	1	0	0	1	6	152970519	152983579	-	ENSG00000112029	mygene.info	GRCh38
EZR	1	0	1	0	2	chr6	158755741	158829413			gene_regions_bed	GRCh38
QKI	0	0	0	1	1	6	163414000	163578592	+	ENSG00000112531	mygene.info	GRCh38
GPER1	0	1	0	0	1	7	1082208	1094511	+	ENSG00000164850	mygene.info	GRCh38
EIF3B	0	1	0	0	1	7	2354086	2380747	+	ENSG00000106263	mygene.info	GRCh38
RADIL	0	1	0	0	1	7	4797055	4883716	-	ENSG00000157927	mygene.info	GRCh38
FSCN1	0	1	0	0	1	7	5592809	5606655	+	ENSG00000075618	mygene.info	GRCh38
PMS2	0	1	0	0	1	7	5970925	6009130	-	ENSG00000122512	mygene.info	GRCh38
RAC1	1	1	0	0	2	chr7	6364098	6413998			gene_regions_bed	GRCh38
CCZ1B	0	0	0	1	1	7	6794134	6826770	-	ENSG00000146574	mygene.info	GRCh38
SNX13	0	0	0	1	1	7	17790761	17940712	-	ENSG00000071189	mygene.info	GRCh38
IL6	1	0	0	0	1	chr7	22715884	22742002			gene_regions_bed	GRCh38
GPNMB	0	1	0	0	1	7	23235967	23275108	+	ENSG00000136235	mygene.info	GRCh38
CYCS	1	0	0	0	1	chr7	25108656	25135266			gene_regions_bed	GRCh38
HNRNPA2B1	0	0	0	1	1	7	26171151	26201529	-	ENSG00000122566	mygene.info	GRCh38
HOXA13	0	1	0	0	1	7	27193503	27200091	-	ENSG00000106031	mygene.info	GRCh38
SFRP4	0	1	0	0	1	7	37905932	38025695	-	ENSG00000106483	mygene.info	GRCh38
VPS41	0	0	0	1	1	7	38722974	38932394	-	ENSG00000006715	mygene.info	GRCh38
GLI3	0	1	0	0	1	7	41960949	42264265	-	ENSG00000106571	mygene.info	GRCh38
EGFR	1	1	0	0	2	chr7	55008820	55221628			gene_regions_bed	GRCh38
ABHD11	0	1	0	0	1	7	73736091	73738863	-	ENSG00000106077	mygene.info	GRCh38
GTF2IRD1	0	1	0	0	1	7	74452463	74602619	+	ENSG00000006704	mygene.info	GRCh38
HGF	1	1	0	0	2	chr7	81689010	81780438			gene_regions_bed	GRCh38
SAMD9	0	1	0	0	1	7	93099513	93118023	-	ENSG00000205413	mygene.info	GRCh38
TFPI2	0	1	0	0	1	7	93885396	93890753	-	ENSG00000105825	mygene.info	GRCh38
MEPCE	0	1	0	0	1	7	100428322	100434126	+	ENSG00000289690	mygene.info	GRCh38
SLC12A9	0	0	1	1	2	7	100826820	100867017	+	ENSG00000146828	mygene.info	GRCh38
AP1S1	0	1	0	0	1	7	101154352	101161596	+	ENSG00000106367	mygene.info	GRCh38
CAV1	0	1	0	0	1	7	116524994	116561179	+	ENSG00000105974	mygene.info	GRCh38
MET	1	0	0	0	1	chr7	116662051	116808386			gene_regions_bed	GRCh38
LEP	0	1	0	0	1	7	128241278	128257629	+	ENSG00000174697	mygene.info	GRCh38
IMPDH1	0	1	0	0	1	7	128392277	128410009	-	ENSG00000106348	mygene.info	GRCh38
ATP6V1F	0	1	0	0	1	7	128862856	128865847	+	ENSG00000128524	mygene.info	GRCh38
SMO	0	1	0	0	1	7	129188511	129213546	+	ENSG00000128602	mygene.info	GRCh38
LINC-PINT	0	0	1	0	1	7	130791264	131110176	-	ENSG00000231721	mygene.info	GRCh38
MKLN1	0	1	0	0	1	7	131110096	131496632	+	ENSG00000128585	mygene.info	GRCh38
WDR91	0	0	0	1	1	7	135183839	135211557	-	ENSG00000105875	mygene.info	GRCh38
CREB3L2	0	1	0	0	1	7	137874979	138002086	-	ENSG00000182158	mygene.info	GRCh38
HIPK2	0	1	0	0	1	7	139561570	139777998	-	ENSG00000064393	mygene.info	GRCh38
BRAF	0	1	0	0	1	7	140719327	140924976	-	ENSG00000157764	mygene.info	GRCh38
CDK5	0	1	0	0	1	7	151051517	151057947	-	ENSG00000164885	mygene.info	GRCh38
SHH	0	1	0	0	1	7	155799980	155812463	-	ENSG00000164690	mygene.info	GRCh38
MTMR9	0	0	0	1	1	8	11284523	11328146	+	ENSG00000104643	mygene.info	GRCh38
ESCO2	0	1	0	0	1	8	27771949	27812640	+	ENSG00000171320	mygene.info	GRCh38
FZD3	1	0	0	0	1	chr8	28484205	28584267			gene_regions_bed	GRCh38
WRN	0	1	0	0	1	8	31033779	31176138	+	ENSG00000165392	mygene.info	GRCh38
ADGRA2	0	1	0	0	1	8	37784191	37844896	+	ENSG00000020181	mygene.info	GRCh38
STAR	0	1	0	0	1	8	38141747	38151061	-	ENSG00000147465	mygene.info	GRCh38
IKBKB	0	1	0	0	1	8	42271302	42332460	+	ENSG00000104365	mygene.info	GRCh38
PRKDC	0	1	0	0	1	8	47773108	47960182	-	ENSG00000253729	mygene.info	GRCh38
MCM4	0	1	0	0	1	8	47960185	47978165	+	ENSG00000104738	mygene.info	GRCh38
SNAI2	0	1	0	0	1	8	48917598	48921740	-	ENSG00000019549	mygene.info	GRCh38
ATP6V1H	0	1	0	0	1	8	53715543	53843558	-	ENSG00000047249	mygene.info	GRCh38
RPS20	0	1	0	0	1	8	56067254	56074510	-	ENSG00000008988	mygene.info	GRCh38
CHD7	0	1	0	0	1	8	60678740	60868028	+	ENSG00000171316	mygene.info	GRCh38
CRH	0	1	0	0	1	8	66176376	66178464	-	ENSG00000147571	mygene.info	GRCh38
SULF1	0	1	0	0	1	8	69466624	69660935	+	ENSG00000137573	mygene.info	GRCh38
TERF1	0	1	0	0	1	8	73008833	73048123	+	ENSG00000147601	mygene.info	GRCh38
SNX16	0	0	1	0	1	8	81799581	81842866	-	ENSG00000104497	mygene.info	GRCh38
NBN	0	1	0	0	1	8	89924515	90003228	-	ENSG00000104320	mygene.info	GRCh38
INTS8	0	0	0	1	1	8	94813311	94881746	+	ENSG00000164941	mygene.info	GRCh38
GDF6	0	1	0	0	1	8	96142333	96160806	-	ENSG00000156466	mygene.info	GRCh38
SDC2	0	1	0	0	1	8	96493410	96611790	+	ENSG00000169439	mygene.info	GRCh38
YWHAZ	0	1	0	0	1	8	100916523	100953388	-	ENSG00000164924	mygene.info	GRCh38
RSPO2	0	0	1	0	1	8	107899316	108083790	-	ENSG00000147655	mygene.info	GRCh38
EIF3E	0	1	0	0	1	8	108162787	108443496	-	ENSG00000104408	mygene.info	GRCh38
EIF3H	0	1	0	0	1	8	116642130	116766925	-	ENSG00000147677	mygene.info	GRCh38
RAD21	0	1	0	0	1	8	116845934	116874849	-	ENSG00000164754	mygene.info	GRCh38
NSMCE2	0	1	0	0	1	8	125091673	125367729	+	ENSG00000156831	mygene.info	GRCh38
MYC	0	1	0	0	1	8	127735434	127742951	+	ENSG00000136997	mygene.info	GRCh38
CPSF1	0	1	0	0	1	8	144393229	144409861	-	ENSG00000285049	mygene.info	GRCh38
RECQL4	0	1	0	0	1	8	144511288	144517845	-	ENSG00000160957	mygene.info	GRCh38
COMMD5	0	0	0	1	1	8	144837978	144853736	-	ENSG00000170619	mygene.info	GRCh38
MLANA	1	1	0	0	2	chr9	5880889	5920606			gene_regions_bed	GRCh38
TYRP1	1	1	1	0	3	chr9	12675439	12720285			gene_regions_bed	GRCh38
NFIB	0	1	0	0	1	9	14081843	14398983	-	ENSG00000147862	mygene.info	GRCh38
ZDHHC21	0	1	0	0	1	9	14586766	14693737	-	ENSG00000175893	mygene.info	GRCh38
BNC2	0	1	1	1	3	9	16409503	16870902	-	ENSG00000173068	mygene.info	GRCh38
RPS6	0	1	0	0	1	9	19375715	19380282	-	ENSG00000137154	mygene.info	GRCh38
CDKN2A	0	1	0	1	2	9	21967752	21995301	-	ENSG00000147889	mygene.info	GRCh38
CDKN2B	0	0	1	0	1	9	22002903	22009305	-	ENSG00000147883	mygene.info	GRCh38
B4GALT1	0	0	0	1	1	9	33100493	33167359	-	ENSG00000086062	mygene.info	GRCh38
CD72	0	0	0	1	1	9	35609982	35646810	-	ENSG00000137101	mygene.info	GRCh38
GNAQ	0	1	0	0	1	9	77716097	78031972	-	ENSG00000156052	mygene.info	GRCh38
SPTLC1	1	0	0	0	1	chr9	91990087	92125433			gene_regions_bed	GRCh38
IPPK	0	1	0	0	1	9	92613181	92670262	-	ENSG00000127080	mygene.info	GRCh38
FANCC	0	1	0	0	1	9	95099054	95426796	-	ENSG00000158169	mygene.info	GRCh38
PTCH1	0	1	0	0	1	9	95442980	95517057	-	ENSG00000185920	mygene.info	GRCh38
XPA	0	1	0	0	1	9	97674909	97697340	-	ENSG00000136936	mygene.info	GRCh38
NR4A3	0	1	0	0	1	9	99821855	99866891	+	ENSG00000119508	mygene.info	GRCh38
STX17	0	1	0	0	1	9	99906654	99974534	+	ENSG00000136874	mygene.info	GRCh38
PTPN3	0	0	1	0	1	9	109375466	109498333	-	ENSG00000070159	mygene.info	GRCh38
SLC31A1	0	1	0	1	2	9	113221191	113264492	+	ENSG00000136868	mygene.info	GRCh38
TRIM32	0	1	0	0	1	9	116687305	116701300	+	ENSG00000119401	mygene.info	GRCh38
RAB14	0	0	0	1	1	9	121178133	121223014	-	ENSG00000119396	mygene.info	GRCh38
CRB2	0	1	0	0	1	9	123356170	123380324	+	ENSG00000148204	mygene.info	GRCh38
LHX2	0	1	1	0	2	9	124001670	124033301	+	ENSG00000106689	mygene.info	GRCh38
NEK6	0	0	1	0	1	9	124257606	124353307	+	ENSG00000119408	mygene.info	GRCh38
HSPA5	0	0	0	1	1	9	125234853	125241382	-	ENSG00000044574	mygene.info	GRCh38
LRSAM1	0	1	0	0	1	9	127451469	127503503	+	ENSG00000148356	mygene.info	GRCh38
STXBP1	0	1	0	0	1	9	127579370	127696027	+	ENSG00000136854	mygene.info	GRCh38
USP20	0	1	0	0	1	9	129834698	129881842	+	ENSG00000136878	mygene.info	GRCh38
TSC1	0	1	0	0	1	9	132891348	132946874	-	ENSG00000165699	mygene.info	GRCh38
RXRA	0	1	0	0	1	9	134317098	134440585	+	ENSG00000186350	mygene.info	GRCh38
INPP5E	0	1	0	0	1	9	136428618	136439882	-	ENSG00000148384	mygene.info	GRCh38
NOTCH1	0	1	0	0	1	9	136494433	136546048	-	ENSG00000148400	mygene.info	GRCh38
NRARP	0	1	0	0	1	9	137299631	137302271	-	ENSG00000198435	mygene.info	GRCh38
KLF6	0	0	0	1	1	10	3775996	3785281	-	ENSG00000067082	mygene.info	GRCh38
GATA3	0	1	0	0	1	10	8045315	8075198	+	ENSG00000107485	mygene.info	GRCh38
OPTN	0	1	0	0	1	10	13099449	13140320	+	ENSG00000123240	mygene.info	GRCh38
COMMD3	0	0	0	1	1	10	22315980	22320430	+	ENSG00000148444	mygene.info	GRCh38
COMMD3-BMI1	0	0	0	1	1	10	22316388	22329542	+	ENSG00000269897	mygene.info	GRCh38
BAMBI	0	0	0	1	1	10	28677510	28682932	+	ENSG00000095739	mygene.info	GRCh38
ITGB1	0	1	0	0	1	10	32887273	33005792	-	ENSG00000150093	mygene.info	GRCh38
PARD3	0	1	0	0	1	10	34109560	34815419	-	ENSG00000148498	mygene.info	GRCh38
CXCL12	0	1	0	0	1	10	44370165	44386493	-	ENSG00000107562	mygene.info	GRCh38
MAPK8	1	0	0	0	1	chr10	48296639	48449360			gene_regions_bed	GRCh38
ERCC6	0	1	0	0	1	10	49454168	49539538	-	ENSG00000225830	mygene.info	GRCh38
PRKG1	1	0	0	0	1	chr10	50980888	52308423			gene_regions_bed	GRCh38
ATOH7	0	1	0	0	1	10	68230595	68232113	-	ENSG00000179774	mygene.info	GRCh38
VPS26A	0	0	0	1	1	10	69123512	69174412	+	ENSG00000122958	mygene.info	GRCh38
HK1	0	0	1	0	1	10	69269984	69403496	+	ENSG00000156515	mygene.info	GRCh38
SAR1A	0	0	0	1	1	10	70147289	70170905	-	ENSG00000079332	mygene.info	GRCh38
SGPL1	0	1	0	0	1	10	70815905	70958701	+	ENSG00000166224	mygene.info	GRCh38
PCBD1	0	1	0	0	1	10	70882280	70888605	-	ENSG00000166228	mygene.info	GRCh38
SLC29A3	0	1	0	0	1	10	71319259	71381423	+	ENSG00000198246	mygene.info	GRCh38
LRMDA	0	1	0	0	1	10	75431624	76560168	+	ENSG00000148655	mygene.info	GRCh38
ZMIZ1	0	0	1	0	1	10	79068929	79316550	+	ENSG00000108175	mygene.info	GRCh38
PTEN	0	1	0	0	1	10	87862638	87971930	+	ENSG00000284792	mygene.info	GRCh38
FAS	1	0	0	0	1	chr10	88943813	89039605			gene_regions_bed	GRCh38
NOC3L	0	1	0	0	1	10	94333226	94362982	-	ENSG00000173145	mygene.info	GRCh38
HELLS	0	1	0	0	1	10	94545329	94613905	+	ENSG00000119969	mygene.info	GRCh38
HPS1	0	1	0	1	2	10	98410939	98446966	-	ENSG00000107521	mygene.info	GRCh38
BLOC1S2	0	0	0	1	1	10	100273280	100286697	-	ENSG00000196072	mygene.info	GRCh38
FBXW4	0	1	0	0	1	10	101610663	101695295	-	ENSG00000107829	mygene.info	GRCh38
HPS6	0	1	0	1	2	10	102065349	102068036	+	ENSG00000166189	mygene.info	GRCh38
GBF1	0	1	0	0	1	10	102245371	102382899	+	ENSG00000107862	mygene.info	GRCh38
SUFU	0	1	0	0	1	10	102503952	102633535	+	ENSG00000107882	mygene.info	GRCh38
SH3PXD2A	0	1	0	0	1	10	103594027	103855584	-	ENSG00000107957	mygene.info	GRCh38
COL17A1	0	1	0	0	1	10	104030753	104086225	-	ENSG00000065618	mygene.info	GRCh38
BBIP1	0	1	0	0	1	10	110898730	110919201	-	ENSG00000214413	mygene.info	GRCh38
SHOC2	0	1	0	0	1	10	110917932	111017307	+	ENSG00000108061	mygene.info	GRCh38
EMX2	0	0	1	0	1	10	117542445	117549546	+	ENSG00000170370	mygene.info	GRCh38
RAB11FIP2	0	0	1	0	1	10	118004916	118046941	-	ENSG00000107560	mygene.info	GRCh38
ATE1	0	1	0	0	1	10	121709393	121928801	-	ENSG00000107669	mygene.info	GRCh38
HTRA1	0	1	0	0	1	10	122458551	122514907	+	ENSG00000166033	mygene.info	GRCh38
DMBT1	0	0	1	0	1	10	122560643	122643740	+	ENSG00000187908	mygene.info	GRCh38
OAT	0	1	0	0	1	10	124397298	124419760	-	ENSG00000065154	mygene.info	GRCh38
CTBP2	0	1	0	0	1	10	124981657	125163006	-	ENSG00000175029	mygene.info	GRCh38
MGMT	0	0	1	0	1	10	129466679	129770983	+	ENSG00000170430	mygene.info	GRCh38
HRAS	1	1	0	0	2	chr11	522242	547343			gene_regions_bed	GRCh38
CTSD	0	1	0	0	1	11	1752752	1764573	-	ENSG00000117984	mygene.info	GRCh38
STIM1	0	1	0	0	1	11	3854527	4093210	+	ENSG00000167323	mygene.info	GRCh38
SMPD1	1	0	0	0	1	chr11	6380414	6404998			gene_regions_bed	GRCh38
ILK	0	1	0	0	1	11	6603708	6610874	+	ENSG00000166333	mygene.info	GRCh38
PPFIBP2	0	0	1	0	1	11	7513298	7657127	+	ENSG00000166387	mygene.info	GRCh38
RPL27A	0	1	0	0	1	11	8682732	8714759	+	ENSG00000166441	mygene.info	GRCh38
TMEM9B	0	0	0	1	1	11	8947202	8965011	-	ENSG00000175348	mygene.info	GRCh38
SCUBE2	0	1	0	0	1	11	9019476	9138114	-	ENSG00000175356	mygene.info	GRCh38
CTR9	0	1	0	0	1	11	10751018	10801625	+	ENSG00000198730	mygene.info	GRCh38
COPB1	0	1	0	0	1	11	14443357	14500027	-	ENSG00000129083	mygene.info	GRCh38
SOX6	0	0	1	0	1	11	15966449	16739591	-	ENSG00000110693	mygene.info	GRCh38
HPS5	0	1	0	1	2	11	18278668	18322523	-	ENSG00000110756	mygene.info	GRCh38
SLC17A6	0	1	0	0	1	11	22338381	22379503	+	ENSG00000091664	mygene.info	GRCh38
TRAF6	0	1	0	0	1	11	36483769	36510292	-	ENSG00000175104	mygene.info	GRCh38
RAG1	0	1	0	0	1	11	36510372	36593156	+	ENSG00000166349	mygene.info	GRCh38
AMBRA1	0	1	0	1	2	11	46396414	46594125	-	ENSG00000110497	mygene.info	GRCh38
DDB2	0	1	0	0	1	11	47214457	47239240	+	ENSG00000134574	mygene.info	GRCh38
STX3	0	1	0	0	1	11	59713456	59805882	+	ENSG00000166900	mygene.info	GRCh38
AHNAK	0	0	1	0	1	11	62433542	62556235	-	ENSG00000124942	mygene.info	GRCh38
GANAB	0	0	0	1	1	11	62624824	62646726	-	ENSG00000089597	mygene.info	GRCh38
POLR2G	0	1	0	0	1	11	62761554	62766715	+	ENSG00000168002	mygene.info	GRCh38
BAD	1	0	0	0	1	chr11	64259828	64301946			gene_regions_bed	GRCh38
MAP4K2	1	0	0	0	1	chr11	64774918	64813241			gene_regions_bed	GRCh38
MEN1	0	1	0	0	1	11	64803510	64811294	-	ENSG00000133895	mygene.info	GRCh38
OVOL1	0	1	0	0	1	11	65786714	65797219	+	ENSG00000172818	mygene.info	GRCh38
BBS1	0	1	0	0	1	11	66510606	66533630	+	ENSG00000174483	mygene.info	GRCh38
TBX10	0	1	0	0	1	11	67631303	67639763	-	ENSG00000167800	mygene.info	GRCh38
TPCN2	0	1	1	0	2	11	69048850	69136316	+	ENSG00000162341	mygene.info	GRCh38
CCND1	1	0	0	0	1	chr11	69631143	69664474			gene_regions_bed	GRCh38
SPCS2	0	0	0	1	1	11	74949259	74979033	+	ENSG00000118363	mygene.info	GRCh38
PAK1	1	1	0	0	2	chr11	77311548	77484635			gene_regions_bed	GRCh38
GAB2	0	0	1	0	1	11	78215293	78418348	-	ENSG00000033327	mygene.info	GRCh38
SYTL2	0	1	0	0	1	11	85694224	85811182	-	ENSG00000137501	mygene.info	GRCh38
PICALM	0	1	0	0	1	11	85957171	86069882	-	ENSG00000073921	mygene.info	GRCh38
EED	0	1	0	0	1	11	86201212	86279807	+	ENSG00000074266	mygene.info	GRCh38
FZD4	0	1	0	0	1	11	86945679	86955395	-	ENSG00000174804	mygene.info	GRCh38
RAB38	0	1	0	0	1	11	88113251	88175443	-	ENSG00000123892	mygene.info	GRCh38
GRM5	0	0	1	0	1	11	88504576	89065982	-	ENSG00000168959	mygene.info	GRCh38
TYR	1	1	1	1	4	chr11	89167875	89305759			gene_regions_bed	GRCh38
MMP1	1	0	0	0	1	chr11	102779401	102808160			gene_regions_bed	GRCh38
GUCY1A2	1	0	0	0	1	chr11	106664019	107028476			gene_regions_bed	GRCh38
ALKBH8	0	0	0	1	1	11	107502727	107565742	-	ENSG00000137760	mygene.info	GRCh38
CUL5	0	0	0	1	1	11	108008898	108107781	+	ENSG00000166266	mygene.info	GRCh38
ATM	0	1	0	0	1	11	108222804	108369102	+	ENSG00000149311	mygene.info	GRCh38
RDX	1	0	0	0	1	chr11	109854295	110306712			gene_regions_bed	GRCh38
SIK2	0	1	0	0	1	11	111602404	111730855	+	ENSG00000170145	mygene.info	GRCh38
DLAT	0	1	0	0	1	11	112025033	112064404	+	ENSG00000150768	mygene.info	GRCh38
PTS	0	1	0	0	1	11	112226367	112269955	+	ENSG00000150787	mygene.info	GRCh38
DRD2	0	1	0	0	1	11	113409605	113476402	-	ENSG00000149295	mygene.info	GRCh38
USP28	0	1	0	0	1	11	113797870	113875590	-	ENSG00000048028	mygene.info	GRCh38
MPZL3	0	1	0	0	1	11	118226690	118252365	-	ENSG00000160588	mygene.info	GRCh38
ARCN1	0	1	0	0	1	11	118572390	118603033	+	ENSG00000095139	mygene.info	GRCh38
VPS11	0	1	0	0	1	11	119067789	119082753	+	ENSG00000160695	mygene.info	GRCh38
CBL	0	1	0	0	1	11	119206298	119313926	+	ENSG00000110395	mygene.info	GRCh38
CHEK1	0	1	0	0	1	11	125625163	125676255	+	ENSG00000149554	mygene.info	GRCh38
ETS1	0	1	0	0	1	11	128458761	128587606	-	ENSG00000134954	mygene.info	GRCh38
BARX2	0	1	0	0	1	11	129375848	129452279	+	ENSG00000043039	mygene.info	GRCh38
JAM3	0	1	0	0	1	11	134068998	134152001	+	ENSG00000166086	mygene.info	GRCh38
FOXM1	0	1	0	0	1	12	2857676	2877174	-	ENSG00000111206	mygene.info	GRCh38
CCND2	0	0	1	0	1	12	4269771	4306933	+	ENSG00000118971	mygene.info	GRCh38
TNFRSF1A	1	0	0	0	1	chr12	6318757	6352114			gene_regions_bed	GRCh38
PTPN6	0	1	0	0	1	12	6946417	6961316	+	ENSG00000111679	mygene.info	GRCh38
AEBP2	0	1	0	0	1	12	19404045	19720801	+	ENSG00000139154	mygene.info	GRCh38
SOX5	0	1	0	0	1	12	23529504	24562544	-	ENSG00000134532	mygene.info	GRCh38
KRAS	0	1	0	0	1	12	25205246	25250936	-	ENSG00000133703	mygene.info	GRCh38
ADAMTS20	0	1	0	0	1	12	43352771	43552203	-	ENSG00000173157	mygene.info	GRCh38
VDR	0	1	0	0	1	12	47841537	47943048	-	ENSG00000111424	mygene.info	GRCh38
WNT1	0	1	0	0	1	12	48978322	48982620	+	ENSG00000125084	mygene.info	GRCh38
MCRS1	0	1	0	0	1	12	49556544	49568145	-	ENSG00000187778	mygene.info	GRCh38
SMARCD1	0	1	0	0	1	12	50085200	50100712	+	ENSG00000066117	mygene.info	GRCh38
KRT75	0	1	0	0	1	12	52424070	52434371	-	ENSG00000170454	mygene.info	GRCh38
KRT5	0	1	0	0	1	12	52514575	52520530	-	ENSG00000186081	mygene.info	GRCh38
KRT2	0	1	0	0	1	12	52644558	52652211	-	ENSG00000172867	mygene.info	GRCh38
KRT1	0	1	0	0	1	12	52674736	52680407	-	ENSG00000167768	mygene.info	GRCh38
KRT76	0	1	0	0	1	12	52768155	52777345	-	ENSG00000185069	mygene.info	GRCh38
KRT4	0	1	0	0	1	12	52806549	52814116	-	ENSG00000170477	mygene.info	GRCh38
PMEL	1	1	0	0	2	chr12	55944104	55983317			gene_regions_bed	GRCh38
CDK2	1	0	0	0	1	chr12	55956781	55982789			gene_regions_bed	GRCh38
ERBB3	0	1	0	0	1	12	56076799	56103505	+	ENSG00000065361	mygene.info	GRCh38
RNF41	0	1	0	0	1	12	56202179	56224275	-	ENSG00000181852	mygene.info	GRCh38
DCTN2	0	1	0	0	1	12	57529633	57547242	-	ENSG00000175203	mygene.info	GRCh38
KIF5A	0	1	0	0	1	12	57546026	57586633	+	ENSG00000155980	mygene.info	GRCh38
CDK4	1	0	0	0	1	chr12	57737722	57766013			gene_regions_bed	GRCh38
WIF1	0	1	0	0	1	12	65050626	65121548	-	ENSG00000156076	mygene.info	GRCh38
MDM2	0	1	0	0	1	12	68808175	68845544	+	ENSG00000135679	mygene.info	GRCh38
CCT2	0	1	0	0	1	12	69585423	69601577	+	ENSG00000166226	mygene.info	GRCh38
RAB3IP	0	1	0	0	1	12	69738860	69823204	+	ENSG00000127328	mygene.info	GRCh38
RAB21	0	0	0	1	1	12	71754863	71800286	+	ENSG00000080371	mygene.info	GRCh38
CEP290	0	1	0	0	1	12	88049016	88142099	-	ENSG00000198707	mygene.info	GRCh38
TMTC3	0	0	1	0	1	12	88142181	88199887	+	ENSG00000139324	mygene.info	GRCh38
KITLG	1	1	1	0	3	chr12	88482789	88590851			gene_regions_bed	GRCh38
POC1B	0	1	0	0	1	12	89419718	89526135	-	ENSG00000139323	mygene.info	GRCh38
PMCH	0	1	0	0	1	12	102196459	102197833	-	ENSG00000183395	mygene.info	GRCh38
PAH	0	1	0	0	1	12	102836889	102958410	-	ENSG00000171759	mygene.info	GRCh38
HSP90B1	0	1	0	0	1	12	103930107	103953931	+	ENSG00000166598	mygene.info	GRCh38
RIC8B	0	1	0	0	1	12	106774621	106889316	+	ENSG00000111785	mygene.info	GRCh38
ARPC3	0	0	0	1	1	12	110434582	110450422	-	ENSG00000111229	mygene.info	GRCh38
VPS29	0	0	0	1	1	12	110491083	110502111	-	ENSG00000111237	mygene.info	GRCh38
ALDH2	0	1	0	0	1	12	111766887	111817532	+	ENSG00000111275	mygene.info	GRCh38
PTPN11	0	1	0	0	1	12	112418351	112509918	+	ENSG00000179295	mygene.info	GRCh38
VPS33A	0	1	0	0	1	12	122229564	122266502	-	ENSG00000139719	mygene.info	GRCh38
TMED2	0	0	0	1	1	12	123584526	123598582	+	ENSG00000086598	mygene.info	GRCh38
ATP6V0A2	0	0	0	1	1	12	123712342	123761755	+	ENSG00000185344	mygene.info	GRCh38
MMP17	0	1	0	0	1	12	131828393	131851783	+	ENSG00000198598	mygene.info	GRCh38
MTMR6	0	0	0	1	1	13	25245495	25287521	-	ENSG00000139505	mygene.info	GRCh38
BRCA2	0	1	0	0	1	13	32315086	32400268	+	ENSG00000139618	mygene.info	GRCh38
FREM2	0	1	0	0	1	13	38687077	38887131	+	ENSG00000150893	mygene.info	GRCh38
RB1	0	1	0	1	2	13	48303735	48599436	+	ENSG00000139687	mygene.info	GRCh38
